Nr. movimento;budget/cons;Tipo movimento;Nr articolo;Tipo origine;Nr. origine;Quantità;Importo vendita in valuta locale (TOTALE VENDITA)
21824;BUDGET;Vendita;ART0003101;Cliente;C00140;5;103.4
21827;BUDGET;Vendita;ART0000756;Cliente;C00140;5;1363
21828;BUDGET;Vendita;ART0001017;Cliente;C00140;1;291.4
21829;BUDGET;Vendita;ART0001017;Cliente;C00140;1;291.4
21830;BUDGET;Vendita;ART0000825;Cliente;C00140;2;676.8
21967;BUDGET;Vendita;ART0005136;Cliente;C00455;1;10
22006;BUDGET;Vendita;ART0003578;Cliente;C00094;2;20
22007;BUDGET;Vendita;ART0003578;Cliente;C00094;2;20
22008;BUDGET;Vendita;ART0003580;Cliente;C00094;2;26
22009;BUDGET;Vendita;ART0003580;Cliente;C00094;2;26
22012;BUDGET;Vendita;ART0003613;Cliente;C00094;4;108
22018;BUDGET;Vendita;ART0003782;Cliente;C00094;4;76
22021;BUDGET;Vendita;ART0005136;Cliente;C00094;1;17
22058;BUDGET;Vendita;ART0002145;Cliente;C00140;1;79.9
22059;BUDGET;Vendita;ART0002513;Cliente;C00140;4;135.36
22060;BUDGET;Vendita;ART0002551;Cliente;C00140;3;1156.2
22061;BUDGET;Vendita;ART0002424;Cliente;C00140;6;78.96
22062;BUDGET;Vendita;ART0001253;Cliente;C00140;1;79.9
22063;BUDGET;Vendita;ART0001741;Cliente;C00140;1;169.2
22095;BUDGET;Vendita;ART0003785;Cliente;C00094;6;84
22096;BUDGET;Vendita;ART0003785;Cliente;C00094;6;84
22101;BUDGET;Vendita;ART0003785;Cliente;C00094;4;56
22165;BUDGET;Vendita;ART0000625;Cliente;C00004;5;490
22166;BUDGET;Vendita;ART0000627;Cliente;C00004;20;460
22167;BUDGET;Vendita;ART0000639;Cliente;C00004;7;136.5
22168;BUDGET;Vendita;ART0005136;Cliente;C00004;1;0
22169;BUDGET;Vendita;ART0005136;Cliente;C00004;1;0
22170;BUDGET;Vendita;ART0005136;Cliente;C00004;1;0
22171;BUDGET;Vendita;ART0005136;Cliente;C00004;1;0
22172;BUDGET;Vendita;ART0005136;Cliente;C00004;1;75
22173;BUDGET;Vendita;ART0005136;Cliente;C00004;1;300
22196;BUDGET;Vendita;ART0005136;Cliente;C00017;1;130
22222;BUDGET;Vendita;ART0000758;Cliente;C00140;6;1655.9
22223;BUDGET;Vendita;ART0000850;Cliente;C00140;5;1480.5
22226;BUDGET;Vendita;ART0002740;Cliente;C00140;20;394.8
22227;BUDGET;Vendita;ART0002740;Cliente;C00140;20;394.8
22228;BUDGET;Vendita;ART0001743;Cliente;C00140;3;2412.8
22230;BUDGET;Vendita;ART0002451;Cliente;C00140;3;765.35
22231;BUDGET;Vendita;ART0002552;Cliente;C00140;3;90.8
22239;BUDGET;Vendita;ART0002012;Cliente;C00140;2;127.84
22244;BUDGET;Vendita;ART0002385;Cliente;C00140;6;219.96
22246;BUDGET;Vendita;ART0001154;Cliente;C00140;14;144.76
22297;BUDGET;Vendita;ART0001188;Cliente;C00140;1;31.02
22298;BUDGET;Vendita;ART0001214;Cliente;C00140;1;178.6
22299;BUDGET;Vendita;ART0002132;Cliente;C00140;1;63.92
22300;BUDGET;Vendita;ART0002144;Cliente;C00140;1;63.92
22301;BUDGET;Vendita;ART0002511;Cliente;C00140;1;61.1
22302;BUDGET;Vendita;ART0002274;Cliente;C00140;2;357.2
22303;BUDGET;Vendita;ART0002102;Cliente;C00140;4;109.04
22304;BUDGET;Vendita;ART0002366;Cliente;C00140;4;276.74
22344;BUDGET;Vendita;ART0005136;Cliente;C00004;1;13
22348;BUDGET;Vendita;ART0003824;Cliente;C00026;20;220
22349;BUDGET;Vendita;ART0000308;Cliente;C00026;10;200
22360;BUDGET;Vendita;ART0002997;Cliente;C00140;2;460.6
22361;BUDGET;Vendita;ART0003197;Cliente;C00140;2;48.88
22362;BUDGET;Vendita;ART0001228;Cliente;C00140;1;0
22363;BUDGET;Vendita;ART0001238;Cliente;C00140;1;0
22366;BUDGET;Vendita;ART0001228;Cliente;C00140;1;0
22367;BUDGET;Vendita;ART0001238;Cliente;C00140;1;0
22369;BUDGET;Vendita;ART0001228;Cliente;C00140;1;12.97
22370;BUDGET;Vendita;ART0001238;Cliente;C00140;1;17.86
22405;BUDGET;Vendita;ART0001422;Cliente;C00140;12;51.89
22406;BUDGET;Vendita;ART0002753;Cliente;C00140;1;103.4
22428;BUDGET;Vendita;ART0000645;Cliente;C00004;13;390
22429;BUDGET;Vendita;ART0005136;Cliente;C00004;4;40
22430;BUDGET;Vendita;ART0005136;Cliente;C00004;4;196
22500;BUDGET;Vendita;ART0005136;Cliente;C00458;1;35
22520;BUDGET;Vendita;ART0005136;Cliente;C00236;1;2100
22527;BUDGET;Vendita;ART0004099;Cliente;C00297;1;905
22535;BUDGET;Vendita;ART0004146;Cliente;C00297;25;3650
22723;BUDGET;Vendita;ART0003824;Cliente;C00026;20;220
22724;BUDGET;Vendita;ART0000128;Cliente;C00026;5;140
22725;BUDGET;Vendita;ART0000312;Cliente;C00026;20;320
22727;BUDGET;Vendita;ART0000313;Cliente;C00026;6;168
22728;BUDGET;Vendita;ART0000630;Cliente;C00004;21;630
22729;BUDGET;Vendita;ART0000645;Cliente;C00004;10;300
22731;BUDGET;Vendita;ART0000630;Cliente;C00004;10;340
22732;BUDGET;Vendita;ART0000644;Cliente;C00004;10;450
22735;BUDGET;Vendita;ART0000752;Cliente;C00140;1;428.64
22744;BUDGET;Vendita;ART0000805;Cliente;C00140;1;460.6
22747;BUDGET;Vendita;ART0001500;Cliente;C00140;1;45.12
22750;BUDGET;Vendita;ART0002273;Cliente;C00140;1;122.2
22753;BUDGET;Vendita;ART0002996;Cliente;C00140;2;498.2
22761;BUDGET;Vendita;ART0002102;Cliente;C00140;4;109.04
22762;BUDGET;Vendita;ART0002385;Cliente;C00140;6;219.96
22763;BUDGET;Vendita;ART0002385;Cliente;C00140;6;219.96
22771;BUDGET;Vendita;ART0003132;Cliente;C00140;2;35.72
22772;BUDGET;Vendita;ART0003844;Cliente;C00140;1;30.08
22847;BUDGET;Vendita;ART0005136;Cliente;C00465;1;320
22881;BUDGET;Vendita;ART0002513;Cliente;C00140;4;135.36
22890;BUDGET;Vendita;ART0001593;Cliente;C00140;4;37.6
22960;BUDGET;Vendita;ART0000795;Cliente;C00140;1;220.9
22961;BUDGET;Vendita;ART0000782;Cliente;C00140;3;831.9
22962;BUDGET;Vendita;ART0000762;Cliente;C00140;10;3365.2
22963;BUDGET;Vendita;ART0000804;Cliente;C00140;3;1247.85
22972;BUDGET;Vendita;ART0003160;Cliente;C00140;1;89.3
22973;BUDGET;Vendita;ART0001249;Cliente;C00140;1;65.8
22975;BUDGET;Vendita;ART0002010;Cliente;C00140;1;47
22976;BUDGET;Vendita;ART0002267;Cliente;C00140;2;184.24
22977;BUDGET;Vendita;ART0003135;Cliente;C00140;1;32.9
22980;BUDGET;Vendita;ART0002793;Cliente;C00140;20;714.4
22984;BUDGET;Vendita;ART0002139;Cliente;C00140;1;64.86
22985;BUDGET;Vendita;ART0002140;Cliente;C00140;1;72.65
23013;BUDGET;Vendita;ART0000825;Cliente;C00140;1;338.4
23014;BUDGET;Vendita;ART0000825;Cliente;C00140;2;676.8
23022;BUDGET;Vendita;ART0005136;Cliente;C00004;1;15
23148;BUDGET;Vendita;ART0002866;Cliente;C00140;2;144.76
23149;BUDGET;Vendita;ART0000756;Cliente;C00140;5;1363
23150;BUDGET;Vendita;ART0000762;Cliente;C00140;15;5047.8
23179;BUDGET;Vendita;ART0003780;Cliente;C00094;18;288
23180;BUDGET;Vendita;ART0003785;Cliente;C00094;12;168
23183;BUDGET;Vendita;ART0003610;Cliente;C00094;8;200
23184;BUDGET;Vendita;ART0003642;Cliente;C00094;1;23
23185;BUDGET;Vendita;ART0003704;Cliente;C00094;1;48
23190;BUDGET;Vendita;ART0003780;Cliente;C00094;24;384
23199;BUDGET;Vendita;ART0000848;Cliente;C00140;15;2538
23315;BUDGET;Vendita;ART0000795;Cliente;C00140;19;4197.1
23322;BUDGET;Vendita;ART0000131;Cliente;C00026;2;66
23402;BUDGET;Vendita;ART0000690;Cliente;C00004;10;690
23405;BUDGET;Vendita;ART0004385;Cliente;C00004;20;180
23436;BUDGET;Vendita;ART0002895;Cliente;C00140;1;158.86
23437;BUDGET;Vendita;ART0002896;Cliente;C00140;1;155.1
23612;BUDGET;Vendita;ART0002385;Cliente;C00140;6;220.04
23613;BUDGET;Vendita;ART0003189;Cliente;C00140;4;75.23
23616;BUDGET;Vendita;ART0002882;Cliente;C00140;1;216.27
23628;BUDGET;Vendita;ART0001659;Cliente;C00140;12;180.54
23645;BUDGET;Vendita;ART0001659;Cliente;C00140;12;180.54
23658;BUDGET;Vendita;ART0001154;Cliente;C00140;15;155.16
23659;BUDGET;Vendita;ART0001433;Cliente;C00140;4;18.8
23668;BUDGET;Vendita;ART0002210;Cliente;C00140;1;23.36
23676;BUDGET;Vendita;ART0000853;Cliente;C00140;8;2422.3
23677;BUDGET;Vendita;ART0000765;Cliente;C00140;1;362.03
23678;BUDGET;Vendita;ART0000853;Cliente;C00140;3;908.36
23682;BUDGET;Vendita;ART0002740;Cliente;C00140;20;394.94
23686;BUDGET;Vendita;ART0001628;Cliente;C00140;12;146.69
23687;BUDGET;Vendita;ART0001628;Cliente;C00140;6;73.35
23688;BUDGET;Vendita;ART0001628;Cliente;C00140;12;146.69
23712;BUDGET;Vendita;ART0005136;Cliente;C00458;1;35
23713;BUDGET;Vendita;ART0005136;Cliente;C00084;1;36
23714;BUDGET;Vendita;ART0005136;Cliente;C00084;1;50
23715;BUDGET;Vendita;ART0005136;Cliente;C00084;16;48
23766;BUDGET;Vendita;ART0000125;Cliente;C00026;1;270
23773;BUDGET;Vendita;ART0000625;Cliente;C00004;5;490
23774;BUDGET;Vendita;ART0000627;Cliente;C00004;20;460
23775;BUDGET;Vendita;ART0000635;Cliente;C00004;10;150
23776;BUDGET;Vendita;ART0000644;Cliente;C00004;10;450
23777;BUDGET;Vendita;ART0000645;Cliente;C00004;10;300
23863;BUDGET;Vendita;ART0005136;Cliente;C00084;1;90
23985;BUDGET;Vendita;ART0005136;Cliente;C00020;20;4400
24024;BUDGET;Vendita;ART0002859;Cliente;C00140;7;1204.57
24025;BUDGET;Vendita;ART0002860;Cliente;C00140;7;1204.57
24029;BUDGET;Vendita;ART0002210;Cliente;C00140;1;23.36
24073;BUDGET;Vendita;ART0004084;Cliente;C00297;1;1040
24115;BUDGET;Vendita;ART0002042;Cliente;C00140;7;638.49
24125;BUDGET;Vendita;ART0002886;Cliente;C00140;1;126.94
24128;BUDGET;Vendita;ART0000782;Cliente;C00140;4;1109.6
24129;BUDGET;Vendita;ART0000752;Cliente;C00140;6;2572.76
24130;BUDGET;Vendita;ART0000757;Cliente;C00140;1;399.64
24158;BUDGET;Vendita;ART0000782;Cliente;C00140;1;277.4
24212;BUDGET;Vendita;ART0000643;Cliente;C00004;10;100
24215;BUDGET;Vendita;ART0004410;Cliente;C00004;2;122
24221;BUDGET;Vendita;ART0000848;Cliente;C00140;13;2200.39
24223;BUDGET;Vendita;ART0004941;Cliente;C00456;8;600
24224;BUDGET;Vendita;ART0004942;Cliente;C00456;8;480
24226;BUDGET;Vendita;ART0004944;Cliente;C00456;8;28
24228;BUDGET;Vendita;ART0004946;Cliente;C00456;16;832
24229;BUDGET;Vendita;ART0004947;Cliente;C00456;8;176
24235;BUDGET;Vendita;ART0005091;Cliente;C00456;4;96
24342;BUDGET;Vendita;ART0000129;Cliente;C00026;5;0
24343;BUDGET;Vendita;ART0000129;Cliente;C00026;5;0
24344;BUDGET;Vendita;ART0000129;Cliente;C00026;5;725
24376;BUDGET;Vendita;ART0005136;Cliente;C00003;3;270
24408;BUDGET;Vendita;ART0000795;Cliente;C00140;10;2209.79
24409;BUDGET;Vendita;ART0000848;Cliente;C00140;2;338.52
24411;BUDGET;Vendita;ART0001615;Cliente;C00140;28;394.94
24412;BUDGET;Vendita;ART0001422;Cliente;C00140;12;51.91
24415;BUDGET;Vendita;ART0003268;Cliente;C00140;1;4.75
24416;BUDGET;Vendita;ART0001261;Cliente;C00140;1;11.29
24418;BUDGET;Vendita;ART0001263;Cliente;C00140;1;12.23
24419;BUDGET;Vendita;ART0001587;Cliente;C00140;3;29.84
24420;BUDGET;Vendita;ART0002598;Cliente;C00140;1;84.63
24425;BUDGET;Vendita;ART0000697;Cliente;C00004;4;280
24483;BUDGET;Vendita;ART0000783;Cliente;C00140;2;546.55
24484;BUDGET;Vendita;ART0000783;Cliente;C00140;2;546.56
24485;BUDGET;Vendita;ART0000804;Cliente;C00140;1;415.95
24486;BUDGET;Vendita;ART0000748;Cliente;C00140;49;3776.92
24488;BUDGET;Vendita;ART0003164;Cliente;C00140;1;84.6
24614;BUDGET;Vendita;ART0000752;Cliente;C00140;6;2572.76
24615;BUDGET;Vendita;ART0000757;Cliente;C00140;1;399.64
24616;BUDGET;Vendita;ART0000765;Cliente;C00140;1;362.03
24617;BUDGET;Vendita;ART0000782;Cliente;C00140;4;1109.6
24618;BUDGET;Vendita;ART0000782;Cliente;C00140;1;277.4
24620;BUDGET;Vendita;ART0000795;Cliente;C00140;10;2209.79
24622;BUDGET;Vendita;ART0000848;Cliente;C00140;13;2200.39
24623;BUDGET;Vendita;ART0000848;Cliente;C00140;2;338.52
24624;BUDGET;Vendita;ART0000853;Cliente;C00140;8;2422.3
24625;BUDGET;Vendita;ART0000853;Cliente;C00140;3;908.36
24626;BUDGET;Vendita;ART0001154;Cliente;C00140;15;155.16
24631;BUDGET;Vendita;ART0001261;Cliente;C00140;1;11.29
24633;BUDGET;Vendita;ART0001263;Cliente;C00140;1;12.23
24634;BUDGET;Vendita;ART0001422;Cliente;C00140;12;51.91
24635;BUDGET;Vendita;ART0001433;Cliente;C00140;4;18.8
24658;BUDGET;Vendita;ART0001587;Cliente;C00140;3;29.84
24661;BUDGET;Vendita;ART0001615;Cliente;C00140;28;394.94
24662;BUDGET;Vendita;ART0001628;Cliente;C00140;12;146.69
24663;BUDGET;Vendita;ART0001628;Cliente;C00140;6;73.35
24664;BUDGET;Vendita;ART0001628;Cliente;C00140;12;146.69
24667;BUDGET;Vendita;ART0001659;Cliente;C00140;12;180.54
24668;BUDGET;Vendita;ART0001659;Cliente;C00140;12;180.54
24675;BUDGET;Vendita;ART0002042;Cliente;C00140;7;638.49
24679;BUDGET;Vendita;ART0002210;Cliente;C00140;1;23.36
24680;BUDGET;Vendita;ART0002210;Cliente;C00140;1;23.36
24690;BUDGET;Vendita;ART0002385;Cliente;C00140;6;220.04
24697;BUDGET;Vendita;ART0002598;Cliente;C00140;1;84.63
24701;BUDGET;Vendita;ART0002740;Cliente;C00140;20;394.94
24714;BUDGET;Vendita;ART0002859;Cliente;C00140;7;1204.57
24715;BUDGET;Vendita;ART0002860;Cliente;C00140;7;1204.57
24717;BUDGET;Vendita;ART0002882;Cliente;C00140;1;216.27
24718;BUDGET;Vendita;ART0002886;Cliente;C00140;1;126.94
24745;BUDGET;Vendita;ART0003189;Cliente;C00140;4;75.23
24749;BUDGET;Vendita;ART0003268;Cliente;C00140;1;4.75
24757;BUDGET;Vendita;ART0000752;Cliente;C00140;6;2572.76
24758;BUDGET;Vendita;ART0000757;Cliente;C00140;1;399.64
24759;BUDGET;Vendita;ART0000765;Cliente;C00140;1;362.03
24760;BUDGET;Vendita;ART0000782;Cliente;C00140;4;1109.6
24761;BUDGET;Vendita;ART0000782;Cliente;C00140;1;277.4
24763;BUDGET;Vendita;ART0000795;Cliente;C00140;10;2209.79
24765;BUDGET;Vendita;ART0000848;Cliente;C00140;13;2200.39
24766;BUDGET;Vendita;ART0000848;Cliente;C00140;2;338.52
24767;BUDGET;Vendita;ART0000853;Cliente;C00140;8;2422.3
24768;BUDGET;Vendita;ART0000853;Cliente;C00140;3;908.36
24769;BUDGET;Vendita;ART0001154;Cliente;C00140;15;155.16
24774;BUDGET;Vendita;ART0001261;Cliente;C00140;1;11.29
24776;BUDGET;Vendita;ART0001263;Cliente;C00140;1;12.23
24777;BUDGET;Vendita;ART0001422;Cliente;C00140;12;51.91
24778;BUDGET;Vendita;ART0001433;Cliente;C00140;4;18.8
24801;BUDGET;Vendita;ART0001587;Cliente;C00140;3;29.84
24804;BUDGET;Vendita;ART0001615;Cliente;C00140;28;394.94
24805;BUDGET;Vendita;ART0001628;Cliente;C00140;12;146.69
24806;BUDGET;Vendita;ART0001628;Cliente;C00140;6;73.35
24807;BUDGET;Vendita;ART0001628;Cliente;C00140;12;146.69
24810;BUDGET;Vendita;ART0001659;Cliente;C00140;12;180.54
24811;BUDGET;Vendita;ART0001659;Cliente;C00140;12;180.54
24818;BUDGET;Vendita;ART0002042;Cliente;C00140;7;638.49
24822;BUDGET;Vendita;ART0002210;Cliente;C00140;1;23.36
24823;BUDGET;Vendita;ART0002210;Cliente;C00140;1;23.36
24833;BUDGET;Vendita;ART0002385;Cliente;C00140;6;220.04
24840;BUDGET;Vendita;ART0002598;Cliente;C00140;1;84.63
24844;BUDGET;Vendita;ART0002740;Cliente;C00140;20;394.94
24857;BUDGET;Vendita;ART0002859;Cliente;C00140;7;1204.57
24858;BUDGET;Vendita;ART0002860;Cliente;C00140;7;1204.57
24860;BUDGET;Vendita;ART0002882;Cliente;C00140;1;216.27
24861;BUDGET;Vendita;ART0002886;Cliente;C00140;1;126.94
24888;BUDGET;Vendita;ART0003189;Cliente;C00140;4;75.23
24892;BUDGET;Vendita;ART0003268;Cliente;C00140;1;4.75
24907;BUDGET;Vendita;ART0000893;Cliente;C00001;2;250
24908;BUDGET;Vendita;ART0005136;Cliente;C00004;1;20
24936;BUDGET;Vendita;ART0002041;Cliente;C00140;7;230.3
24937;BUDGET;Vendita;ART0002133;Cliente;C00140;7;1184.4
25086;BUDGET;Vendita;ART0005136;Cliente;C00094;1;150
25089;BUDGET;Vendita;ART0005136;Cliente;C00018;1;150
25093;BUDGET;Vendita;ART0000312;Cliente;C00026;16;256
25099;BUDGET;Vendita;ART0005028;Cliente;C00026;1;350
25108;BUDGET;Vendita;ART0000783;Cliente;C00140;2;546.55
25109;BUDGET;Vendita;ART0000795;Cliente;C00140;10;2209
25111;BUDGET;Vendita;ART0000851;Cliente;C00140;15;2529.54
25113;BUDGET;Vendita;ART0000804;Cliente;C00140;1;415.95
25115;BUDGET;Vendita;ART0000850;Cliente;C00140;6;1776.6
25117;BUDGET;Vendita;ART0002148;Cliente;C00140;3;111.56
25124;BUDGET;Vendita;ART0002385;Cliente;C00140;6;219.96
25125;BUDGET;Vendita;ART0002012;Cliente;C00140;1;63.92
25129;BUDGET;Vendita;ART0002010;Cliente;C00140;1;47
25130;BUDGET;Vendita;ART0003135;Cliente;C00140;1;32.9
25132;BUDGET;Vendita;ART0002740;Cliente;C00140;20;394.8
25133;BUDGET;Vendita;ART0002107;Cliente;C00140;3;28.2
25135;BUDGET;Vendita;ART0005136;Cliente;C00140;1;143.35
25137;BUDGET;Vendita;ART0002224;Cliente;C00140;16;1173.12
25138;BUDGET;Vendita;ART0002366;Cliente;C00140;16;1106.95
25139;BUDGET;Vendita;ART0002793;Cliente;C00140;60;2143.2
25140;BUDGET;Vendita;ART0003189;Cliente;C00140;36;676.8
25143;BUDGET;Vendita;ART0002228;Cliente;C00140;1;87.42
25146;BUDGET;Vendita;ART0002416;Cliente;C00140;4;22.56
25149;BUDGET;Vendita;ART0002958;Cliente;C00140;1;82.25
25150;BUDGET;Vendita;ART0002959;Cliente;C00140;1;130.66
25154;BUDGET;Vendita;ART0001493;Cliente;C00140;1;42.3
25155;BUDGET;Vendita;ART0001636;Cliente;C00140;4;56.4
25156;BUDGET;Vendita;ART0002228;Cliente;C00140;1;87.42
25157;BUDGET;Vendita;ART0002263;Cliente;C00140;1;126.9
25158;BUDGET;Vendita;ART0002416;Cliente;C00140;12;67.68
25161;BUDGET;Vendita;ART0002958;Cliente;C00140;1;82.25
25162;BUDGET;Vendita;ART0002959;Cliente;C00140;1;130.66
25163;BUDGET;Vendita;ART0003195;Cliente;C00140;2;131.6
25177;BUDGET;Vendita;ART0003132;Cliente;C00140;2;35.72
25178;BUDGET;Vendita;ART0003844;Cliente;C00140;1;30.08
25181;BUDGET;Vendita;ART0001497;Cliente;C00140;1;20.68
25182;BUDGET;Vendita;ART0002271;Cliente;C00140;1;150.4
25184;BUDGET;Vendita;ART0002829;Cliente;C00140;3;84.6
25186;BUDGET;Vendita;ART0001497;Cliente;C00140;1;20.68
25187;BUDGET;Vendita;ART0001739;Cliente;C00140;1;79.9
25188;BUDGET;Vendita;ART0002271;Cliente;C00140;1;150.4
25190;BUDGET;Vendita;ART0002829;Cliente;C00140;3;84.6
25203;BUDGET;Vendita;ART0000628;Cliente;C00004;10;1500
25204;BUDGET;Vendita;ART0000645;Cliente;C00004;10;300
25205;BUDGET;Vendita;ART0000643;Cliente;C00004;10;100
25206;BUDGET;Vendita;ART0000644;Cliente;C00004;12;540
25274;BUDGET;Vendita;ART0000762;Cliente;C00140;10;3365.2
25333;BUDGET;Vendita;ART0001745;Cliente;C00140;1;357.2
25334;BUDGET;Vendita;ART0002262;Cliente;C00140;1;169.2
25335;BUDGET;Vendita;ART0002455;Cliente;C00140;1;545.2
25336;BUDGET;Vendita;ART0002580;Cliente;C00140;1;263.2
25337;BUDGET;Vendita;ART0002581;Cliente;C00140;1;286.7
25338;BUDGET;Vendita;ART0001264;Cliente;C00140;1;11.28
25344;BUDGET;Vendita;ART0001185;Cliente;C00140;4;109.04
25345;BUDGET;Vendita;ART0002866;Cliente;C00140;4;289.52
25393;BUDGET;Vendita;ART0001637;Cliente;C00140;4;488.8
25395;BUDGET;Vendita;ART0001741;Cliente;C00140;1;169.2
25397;BUDGET;Vendita;ART0001653;Cliente;C00140;3;50.76
25399;BUDGET;Vendita;ART0001653;Cliente;C00140;3;50.76
25402;BUDGET;Vendita;ART0002267;Cliente;C00140;2;184.24
25403;BUDGET;Vendita;ART0002139;Cliente;C00140;1;64.86
25404;BUDGET;Vendita;ART0002140;Cliente;C00140;1;72.64
25441;BUDGET;Vendita;ART0005136;Cliente;C00455;4;200
25454;BUDGET;Vendita;ART0000811;Cliente;C00140;2;1485.2
25456;BUDGET;Vendita;ART0001267;Cliente;C00140;1;47
25459;BUDGET;Vendita;ART0001739;Cliente;C00140;1;79.9
25465;BUDGET;Vendita;ART0002456;Cliente;C00140;1;327.12
25466;BUDGET;Vendita;ART0002988;Cliente;C00140;1;216.2
25467;BUDGET;Vendita;ART0002989;Cliente;C00140;1;225.6
25468;BUDGET;Vendita;ART0002990;Cliente;C00140;1;169.2
25507;BUDGET;Vendita;ART0005136;Cliente;C00004;50;150
25531;BUDGET;Vendita;ART0005136;Cliente;C00455;1;16
25532;BUDGET;Vendita;ART0005136;Cliente;C00455;1;16
25580;BUDGET;Vendita;ART0000783;Cliente;C00140;6;1639.66
25583;BUDGET;Vendita;ART0003105;Cliente;C00140;1;52.64
25584;BUDGET;Vendita;ART0001733;Cliente;C00140;5;329
25595;BUDGET;Vendita;ART0001252;Cliente;C00140;1;220.9
25597;BUDGET;Vendita;ART0003309;Cliente;C00140;3;28.2
25598;BUDGET;Vendita;ART0003310;Cliente;C00140;5;37.6
25599;BUDGET;Vendita;ART0001252;Cliente;C00140;1;220.9
25601;BUDGET;Vendita;ART0003309;Cliente;C00140;3;28.2
25602;BUDGET;Vendita;ART0003310;Cliente;C00140;5;37.6
25606;BUDGET;Vendita;ART0002836;Cliente;C00140;21;1223.88
25615;BUDGET;Vendita;ART0002918;Cliente;C00140;1;117.5
25616;BUDGET;Vendita;ART0002919;Cliente;C00140;1;117.5
25617;BUDGET;Vendita;ART0002918;Cliente;C00140;1;117.5
25618;BUDGET;Vendita;ART0002919;Cliente;C00140;1;117.5
25621;BUDGET;Vendita;ART0002895;Cliente;C00140;1;158.86
25622;BUDGET;Vendita;ART0002896;Cliente;C00140;1;155.1
25697;BUDGET;Vendita;ART0002109;Cliente;C00140;4;15.04
25715;BUDGET;Vendita;ART0005136;Cliente;C00004;1;38
25724;BUDGET;Vendita;ART0000853;Cliente;C00140;6;1816.08
25725;BUDGET;Vendita;ART0000790;Cliente;C00140;1;592.2
25736;BUDGET;Vendita;ART0001180;Cliente;C00140;6;217.14
25737;BUDGET;Vendita;ART0001566;Cliente;C00140;18;76.14
25738;BUDGET;Vendita;ART0003101;Cliente;C00140;6;124.08
25739;BUDGET;Vendita;ART0005136;Cliente;C00140;1;169.2
25790;BUDGET;Vendita;ART0000853;Cliente;C00140;2;605.36
25818;BUDGET;Vendita;ART0003612;Cliente;C00094;4;100
25878;BUDGET;Vendita;ART0000786;Cliente;C00140;1;334.27
25892;BUDGET;Vendita;ART0000779;Cliente;C00140;2;924.96
