IDImp;nr articolo;budget/consuntivo;Nr. Ordine di produzione;Descrizione;Nr. Area di produzione;Risorsa;Tempo risorsa;Quantità di output
1161;ART0002210;BUDGET;ODP17-07203;Fresatura;A30;RIS7;0.5;5
1162;ART0002938;BUDGET;ODP17-06374;Tornitura;A20;RIS2;0.5;0
1163;ART0000748;BUDGET;ODP17-05535;Montaggio;A40;RIS4;5;50
1164;ART0000748;BUDGET;ODP17-05535;Controllo qualità;CQ;RIS16;0;50
1165;ART0001174;BUDGET;ODP17-06127;Fresatura;A30;RIS9;1;2
1166;ART0002938;BUDGET;ODP17-06374;Fresatura;A30;RIS7;0.5;1
1167;ART0001886;BUDGET;ODP17-06375;Controllo qualità;CQ;RIS16;0;15
1168;ART0001880;BUDGET;ODP17-07318;Fresatura;A30;RIS7;1.75;3
1169;ART0002210;BUDGET;ODP17-07203;Controllo qualità;CQ;RIS16;0;5
1170;ART0001772;BUDGET;ODP17-05348;Controllo qualità;CQ;RIS16;0;10
1171;ART0001830;BUDGET;ODP17-05734;Controllo qualità;CQ;RIS16;0;6
1172;ART0000043;BUDGET;ODP17-05342;Tornitura;A20;RIS2;1.5;2
1173;ART0000043;BUDGET;ODP17-05342;Tornitura;A20;RIS2;3;0
1174;ART0001908;BUDGET;ODP17-07396;Tornitura;A20;RIS14;5;30
1175;ART0001908;BUDGET;ODP17-07396;Tornitura;A20;RIS14;1;30
1176;ART0001908;BUDGET;ODP17-07396;Fresatura;A30;RIS7;1;0
1177;ART0002747;BUDGET;ODP17-06374;Controllo qualità;CQ;RIS16;0;1
1178;ART0002142;BUDGET;ODP17-06376;Controllo qualità;CQ;RIS16;0;1
1179;ART0000125;BUDGET;ODP17-02966;Controllo qualità;CQ;RIS16;0;3
1180;ART0000018;BUDGET;ODP17-05342;Tornitura;A20;RIS2;1;2
1181;ART0002897;BUDGET;ODP17-06376;Controllo qualità;CQ;RIS16;0;2
1182;ART0001593;BUDGET;ODP17-08038;Tornitura;A20;RIS13;0.5;4
1183;ART0001593;BUDGET;ODP17-08038;Fresatura;A30;RIS13;0.169;4
1184;ART0000041;BUDGET;ODP17-05342;Tornitura;A20;RIS14;3;4
1185;ART0000041;BUDGET;ODP17-05342;Tornitura;A20;RIS14;1.5;0
1186;ART0000042;BUDGET;ODP17-05342;Tornitura;A20;RIS14;5;4
1187;ART0001908;BUDGET;ODP17-07396;Fresatura;A30;RIS7;8.25;30
1188;ART0000758;BUDGET;ODP17-05348;Montaggio;A40;RIS4;2.5;10
1189;ART0000041;BUDGET;ODP17-05342;Fresatura;A30;RIS7;1.25;4
1190;ART0004727;BUDGET;ODP17-06606;Controllo qualità;CQ;RIS16;0;3
1191;ART0004725;BUDGET;ODP17-06606;Controllo qualità;CQ;RIS16;0;3
1192;ART0004724;BUDGET;ODP17-06606;Controllo qualità;CQ;RIS16;0;3
1193;ART0005136;BUDGET;ODP17-07463;Tornitura;A20;RIS13;1.5;8
1194;ART0005136;BUDGET;ODP17-07463;Controllo qualità;CQ;RIS16;0;8
1195;ART0004726;BUDGET;ODP17-06606;Controllo qualità;CQ;RIS16;0;3
1196;ART0001778;BUDGET;ODP17-06373;Tornitura;A20;RIS14;2;2
1197;ART0001514;BUDGET;ODP17-05734;Tornitura;A20;RIS14;1;6
1198;ART0001514;BUDGET;ODP17-05734;Tornitura;A20;RIS14;0.5;6
1199;ART0000042;BUDGET;ODP17-05342;Fresatura;A30;RIS7;3.5;4
1200;ART0002360;BUDGET;ODP17-07202;Tornitura;A20;RIS2;2.5;2
1201;ART0001514;BUDGET;ODP17-05734;Fresatura;A30;RIS7;2;6
1202;ART0001778;BUDGET;ODP17-06373;Fresatura;A30;RIS7;0.75;2
1203;ART0003609;BUDGET;ODP17-06015;Tornitura;A20;RIS11;1;22
1204;ART0003609;BUDGET;ODP17-06015;Tornitura;A20;RIS2;4;0
1205;ART0003940;BUDGET;ODP17-06605;Tornitura;A20;RIS1;6;0
1206;ART0002360;BUDGET;ODP17-07202;Saldatura;A11;RIS13;0.67;2
1207;ART0003609;BUDGET;ODP17-06015;Fresatura;A30;RIS7;1.5;22
1208;ART0003609;BUDGET;ODP17-06015;Controllo qualità;CQ;RIS16;0;22
1209;ART0002360;BUDGET;ODP17-07202;Tornitura;A20;RIS2;3.25;0
1210;ART0003940;BUDGET;ODP17-06605;Tornitura;A20;RIS1;5;4
1211;ART0002938;BUDGET;ODP17-06374;Controllo qualità;CQ;RIS16;0;1
1212;ART0002949;BUDGET;ODP17-06374;Controllo qualità;CQ;RIS16;0;1
1213;ART0002360;BUDGET;ODP17-07202;Fresatura;A30;RIS7;2;0
1214;ART0000853;BUDGET;ODP17-02480;Montaggio;A40;RIS4;2.5;15
1215;ART0001945;BUDGET;ODP17-08042;Tornitura;A20;RIS14;3.5;1
1216;ART0002360;BUDGET;ODP17-07202;Fresatura;A30;RIS7;0.5;2
1217;ART0001940;BUDGET;ODP17-07204;Tornitura;A20;RIS2;0.0001;0
1218;ART0001940;BUDGET;ODP17-07204;Controllo qualità;CQ;RIS16;0;4
1219;ART0001890;BUDGET;ODP17-06373;Controllo qualità;CQ;RIS16;0;2
1220;ART0000018;BUDGET;ODP17-05342;Fresatura;A30;RIS7;0.75;2
1221;ART0000043;BUDGET;ODP17-05342;Fresatura;A30;RIS7;0;0
1222;ART0001799;BUDGET;ODP17-07396;Fresatura;A30;RIS9;4;0
1223;ART0001866;BUDGET;ODP17-08040;Tornitura;A20;RIS1;4;0
1224;ART0001154;BUDGET;ODP17-07895;Tornitura;A20;RIS13;4;50
1225;ART0001154;BUDGET;ODP17-07895;Rettifica;A34;RIS13;2.5;50
1226;ART0000043;BUDGET;ODP17-05342;Fresatura;A30;RIS7;0.25;2
1227;ART0000043;BUDGET;ODP17-05342;Brocciatura / stozzatrice;A33;RIS13;0.5;2
1228;ART0000018;BUDGET;ODP17-05342;Controllo qualità;CQ;RIS16;0;2
1229;ART0000043;BUDGET;ODP17-05342;Tornitura;A20;RIS2;0.0001;0
1230;ART0000043;BUDGET;ODP17-05342;Controllo qualità;CQ;RIS16;0;2
1231;ART0000042;BUDGET;ODP17-05342;Controllo qualità;CQ;RIS16;0;4
1232;ART0000041;BUDGET;ODP17-05342;Controllo qualità;CQ;RIS16;0;4
1233;ART0002112;BUDGET;ODP17-08436;Tornitura;A20;RIS13;0.33;6
1234;ART0000456;BUDGET;ODP17-04656;Fresatura;A30;RIS7;1.75;0
1235;ART0001778;BUDGET;ODP17-06373;Controllo qualità;CQ;RIS16;0;2
1236;ART0001514;BUDGET;ODP17-05734;Controllo qualità;CQ;RIS16;0;6
1237;ART0001946;BUDGET;ODP17-08400;Tornitura;A20;RIS2;4;1
1238;ART0002112;BUDGET;ODP17-08436;Controllo qualità;CQ;RIS16;0;6
1239;ART0003940;BUDGET;ODP17-06605;Fresatura;A30;RIS9;5;0
1240;ART0001866;BUDGET;ODP17-08040;Tornitura;A20;RIS1;5;0
1241;ART0000811;BUDGET;ODP17-07204;Montaggio;A40;RIS4;1.5;4
1242;ART0001866;BUDGET;ODP17-08040;Tornitura;A20;RIS1;3;0
1243;ART0001741;BUDGET;ODP17-08124;Tornitura;A20;RIS14;2;2
1244;ART0000811;BUDGET;ODP17-07204;Controllo qualità;CQ;RIS16;0;4
1245;ART0000811;BUDGET;ODP17-05734;Controllo qualità;CQ;RIS16;0;2
1246;ART0000456;BUDGET;ODP17-04656;Fresatura;A30;RIS7;0.08;10
1247;ART0001433;BUDGET;ODP17-07895;Tornitura;A20;RIS14;2;22
1248;ART0000456;BUDGET;ODP17-04656;Controllo qualità;CQ;RIS16;0;10
1249;ART0001946;BUDGET;ODP17-08400;Tornitura;A20;RIS2;2.75;0
1250;ART0001741;BUDGET;ODP17-08124;Fresatura;A30;RIS7;1.75;2
1251;ART0001590;BUDGET;ODP17-07896;Tornitura;A20;RIS13;1.5;12
1252;ART0001866;BUDGET;ODP17-08040;Tornitura;A20;RIS1;5;18
1253;ART0001866;BUDGET;ODP17-08040;Fresatura;A30;RIS1;0.00001;0
1254;ART0001945;BUDGET;ODP17-08042;Fresatura;A30;RIS7;0.5;0
1255;ART0000780;BUDGET;ODP17-06373;Montaggio;A40;RIS4;1;2
1256;ART0000697;BUDGET;ODP17-07536;Tornitura;A20;RIS13;1.5;2
1257;ART0000697;BUDGET;ODP17-07536;Controllo qualità;CQ;RIS16;0;2
1258;ART0000780;BUDGET;ODP17-06373;Controllo qualità;CQ;RIS16;0;2
1259;ART0001945;BUDGET;ODP17-08042;Fresatura;A30;RIS7;2;1
1260;ART0002530;BUDGET;ODP17-07896;Controllo qualità;CQ;RIS16;0;6
1261;ART0002360;BUDGET;ODP17-07202;Controllo qualità;CQ;RIS16;0;2
1262;ART0000642;BUDGET;ODP17-07536;Fresatura;A30;RIS9;3.5;5
1263;ART0001588;BUDGET;ODP17-08436;Tornitura;A20;RIS13;0.5;6
1264;ART0001047;BUDGET;ODP17-07949;Fresatura;A30;RIS9;1;0
1265;ART0000848;BUDGET;ODP17-06375;Controllo qualità;CQ;RIS16;0;15
1266;ART0005030;BUDGET;ODP17-07205;Tornitura;A20;RIS2;6;2
1267;ART0001047;BUDGET;ODP17-07949;Fresatura;A30;RIS9;1.5;2
1268;ART0001866;BUDGET;ODP17-08040;Tornitura;A20;RIS1;2;0
1269;ART0000642;BUDGET;ODP17-07536;Controllo qualità;CQ;RIS16;0;5
1270;ART0000325;BUDGET;ODP17-05343;Fresatura;A30;RIS7;0.5;5
1271;ART0002214;BUDGET;ODP17-08124;Tornitura;A20;RIS13;2;2
1272;ART0000323;BUDGET;ODP17-05343;Fresatura;A30;RIS7;1.25;5
1273;ART0002214;BUDGET;ODP17-08124;Fresatura;A30;RIS7;0.5;2
1274;ART0005030;BUDGET;ODP17-07205;Tornitura;A20;RIS2;4.5;0
1275;ART0001799;BUDGET;ODP17-07396;Fresatura;A30;RIS7;0.5;0
1276;ART0001768;BUDGET;ODP17-07318;Fresatura;A30;RIS7;1;3
1277;ART0005028;BUDGET;ODP17-06162;Fresatura;A30;RIS7;0.75;0
1278;ART0001154;BUDGET;ODP17-07895;Controllo qualità;CQ;RIS16;0;50
1279;ART0001873;BUDGET;ODP17-08762;Tornitura;A20;RIS14;1;5
1280;ART0001873;BUDGET;ODP17-08762;Tornitura;A20;RIS14;2.5;0
1281;ART0005028;BUDGET;ODP17-06162;Fresatura;A30;RIS7;3.5;3
1282;ART0001590;BUDGET;ODP17-07896;Controllo qualità;CQ;RIS16;0;12
1283;ART0001433;BUDGET;ODP17-07895;Controllo qualità;CQ;RIS16;0;22
1284;ART0001117;BUDGET;ODP17-08197;Tornitura;A20;RIS2;8.5;8
1285;ART0001873;BUDGET;ODP17-08762;Fresatura;A30;RIS7;1;0
1286;ART0001946;BUDGET;ODP17-08400;Fresatura;A30;RIS1;5;1
1287;ART0000324;BUDGET;ODP17-05343;Controllo qualità;CQ;RIS16;0;5
1288;ART0000323;BUDGET;ODP17-05343;Controllo qualità;CQ;RIS16;0;5
1289;ART0001117;BUDGET;ODP17-08197;Fresatura;A30;RIS7;0;1
1290;ART0001873;BUDGET;ODP17-08762;Fresatura;A30;RIS7;4.25;5
1291;ART0001117;BUDGET;ODP17-08197;Fresatura;A30;RIS7;1.25;0
1292;ART0001799;BUDGET;ODP17-07396;Fresatura;A30;RIS9;1;0
1293;ART0000325;BUDGET;ODP17-05343;Controllo qualità;CQ;RIS16;0;5
1294;ART0000116;BUDGET;ODP17-05181;Fresatura;A30;RIS7;2.5;0
1295;ART0005034;BUDGET;ODP17-08618;Tornitura;A20;RIS14;0.5;2
1296;ART0005034;BUDGET;ODP17-08618;Tornitura;A20;RIS14;0.5;0
1297;ART0005035;BUDGET;ODP17-08618;Tornitura;A20;RIS14;1;2
1298;ART0005035;BUDGET;ODP17-08618;Tornitura;A20;RIS14;1;0
1299;ART0005036;BUDGET;ODP17-08618;Tornitura;A20;RIS14;4;16
1300;ART0005036;BUDGET;ODP17-08618;Tornitura;A20;RIS14;3;0
1301;ART0005037;BUDGET;ODP17-08618;Tornitura;A20;RIS14;1.5;16
1302;ART0005037;BUDGET;ODP17-08618;Tornitura;A20;RIS14;2.5;0
1303;ART0001946;BUDGET;ODP17-08400;Fresatura;A30;RIS1;8;0
1304;ART0001946;BUDGET;ODP17-08400;Fresatura;A30;RIS1;4;0
1305;ART0001908;BUDGET;ODP17-07396;Controllo qualità;CQ;RIS16;0;30
1306;ART0001741;BUDGET;ODP17-08124;Controllo qualità;CQ;RIS16;0;2
1307;ART0003989;BUDGET;ODP17-06372;Tornitura;A20;RIS4;1.25;1
1308;ART0001946;BUDGET;ODP17-08400;Fresatura;A30;RIS9;1;0
1309;ART0001799;BUDGET;ODP17-07396;Fresatura;A30;RIS9;3.5;0
1310;ART0001117;BUDGET;ODP17-08197;Tornitura;A20;RIS1;5;0
1311;ART0001788;BUDGET;ODP17-08762;Tornitura;A20;RIS14;8;5
1312;ART0001946;BUDGET;ODP17-08400;Fresatura;A30;RIS9;1;0
1313;ART0000116;BUDGET;ODP17-05181;Fresatura;A30;RIS7;0.75;3
1314;ART0005034;BUDGET;ODP17-08618;Fresatura;A30;RIS7;0.5;2
1315;ART0005037;BUDGET;ODP17-08618;Fresatura;A30;RIS7;1.25;16
1316;ART0001117;BUDGET;ODP17-08197;Tornitura;A20;RIS1;2.5;0
1317;ART0001942;BUDGET;ODP17-07834;Controllo qualità;CQ;RIS16;0;2
1318;ART0001768;BUDGET;ODP17-07318;Controllo qualità;CQ;RIS16;0;3
1319;ART0003982;BUDGET;ODP17-06372;Tornitura;A20;RIS1;0.75;1
1320;ART0001047;BUDGET;ODP17-07949;Saldatura;A11;RIS13;0.5;2
1321;ART0001047;BUDGET;ODP17-07949;Controllo qualità;CQ;RIS16;0;2
1322;ART0000811;BUDGET;ODP17-07204;Montaggio;A40;RIS4;1;2
1323;ART0001277;BUDGET;ODP17-08124;Controllo qualità;CQ;RIS16;0;1
1324;ART0002214;BUDGET;ODP17-08124;Controllo qualità;CQ;RIS16;0;2
1325;ART0001520;BUDGET;ODP17-07948;Tornitura;A20;RIS1;0.5;1
1326;ART0001520;BUDGET;ODP17-07948;Controllo qualità;CQ;RIS16;0;1
1327;ART0001799;BUDGET;ODP17-07396;Tornitura;A20;RIS14;7.5;30
1328;ART0001799;BUDGET;ODP17-07396;Tornitura;A20;RIS14;1.5;0
1329;ART0001117;BUDGET;ODP17-08197;Fresatura;A30;RIS9;4;0
1330;ART0005036;BUDGET;ODP17-08618;Fresatura;A30;RIS7;1.25;16
1331;ART0005035;BUDGET;ODP17-08618;Fresatura;A30;RIS7;0.75;2
1332;ART0000772;BUDGET;ODP17-07318;Montaggio;A40;RIS4;0.75;2
1333;ART0002444;BUDGET;ODP17-08125;Tornitura;A20;RIS2;3.75;5
1334;ART0002444;BUDGET;ODP17-08125;Fresatura;A30;RIS7;0.5;5
1335;ART0002048;BUDGET;ODP17-08125;Tornitura;A20;RIS14;1;5
1336;ART0001788;BUDGET;ODP17-08762;Fresatura;A30;RIS7;3;0
1337;ART0002739;BUDGET;ODP17-07900;Tornitura;A20;RIS2;0.5;0
1338;ART0002740;BUDGET;ODP17-07396;Tornitura;A20;RIS2;4.25;0
1339;ART0005037;BUDGET;ODP17-08618;Controllo qualità;CQ;RIS16;0;16
1340;ART0005036;BUDGET;ODP17-08618;Controllo qualità;CQ;RIS16;0;16
1341;ART0005035;BUDGET;ODP17-08618;Controllo qualità;CQ;RIS16;0;2
1342;ART0005034;BUDGET;ODP17-08618;Controllo qualità;CQ;RIS16;0;2
1343;ART0004099;BUDGET;ODP17-06605;Montaggio;A40;RIS4;2;1
1344;ART0004099;BUDGET;ODP17-06605;Controllo qualità;CQ;RIS16;0;1
1345;ART0002739;BUDGET;ODP17-07900;Tornitura;A20;RIS2;1;7
1346;ART0001788;BUDGET;ODP17-08762;Fresatura;A30;RIS7;3;5
1347;ART0002048;BUDGET;ODP17-08125;Fresatura;A30;RIS7;0.25;5
1348;ART0002739;BUDGET;ODP17-07900;Fresatura;A30;RIS7;2;7
1349;ART0002740;BUDGET;ODP17-07396;Tornitura;A20;RIS2;5.5;47
1350;ART0001832;BUDGET;ODP17-07834;Fresatura;A30;RIS7;1.75;2
1351;ART0005028;BUDGET;ODP17-06162;Controllo qualità;CQ;RIS16;0;3
1352;ART0001866;BUDGET;ODP17-08040;Brocciatura / stozzatrice;A33;RIS1;0.5;18
1353;ART0002909;BUDGET;ODP17-08125;Fresatura;A30;RIS7;1;5
1354;ART0000752;BUDGET;ODP17-08435;Montaggio;A40;RIS4;1.5;6
1355;ART0002867;BUDGET;ODP17-08125;Fresatura;A30;RIS7;3.25;5
1356;ART0000752;BUDGET;ODP17-08435;Controllo qualità;CQ;RIS16;0;6
1357;ART0001164;BUDGET;ODP17-08616;Tornitura;A20;RIS2;1;0
1358;ART0000788;BUDGET;ODP17-08662;Montaggio;A40;RIS4;0.5;1
1359;ART0000788;BUDGET;ODP17-08662;Controllo qualità;CQ;RIS16;0;1
1360;ART0000805;BUDGET;ODP17-08037;Montaggio;A40;RIS4;0.5;1
1361;ART0001164;BUDGET;ODP17-08616;Tornitura;A20;RIS2;3;3
1362;ART0002740;BUDGET;ODP17-07396;Fresatura;A30;RIS7;0.5;0
1363;ART0003160;BUDGET;ODP17-08038;Tornitura;A20;RIS2;1.25;1
1364;ART0001799;BUDGET;ODP17-07396;Fresatura;A30;RIS9;1;0
1365;ART0002148;BUDGET;ODP17-08860;Tornitura;A20;RIS14;2;6
1366;ART0002148;BUDGET;ODP17-08860;Tornitura;A20;RIS14;1.5;0
1367;ART0003160;BUDGET;ODP17-08038;Tornitura;A20;RIS2;1;0
1368;ART0002271;BUDGET;ODP17-08763;Tornitura;A20;RIS14;2;3
1369;ART0001799;BUDGET;ODP17-07396;Fresatura;A30;RIS9;4.75;30
1370;ART0005109;BUDGET;ODP17-08620;Tornitura;A20;RIS14;2;4
1371;ART0001164;BUDGET;ODP17-08616;Fresatura;A30;RIS9;1;3
1372;ART0001427;BUDGET;ODP17-08436;Tornitura;A20;RIS2;0.5;12
1373;ART0002740;BUDGET;ODP17-07396;Fresatura;A30;RIS9;0.5;0
1374;ART0002740;BUDGET;ODP17-07396;Fresatura;A30;RIS7;3.75;47
1375;ART0002271;BUDGET;ODP17-08763;Fresatura;A30;RIS9;1.25;0
1376;ART0002271;BUDGET;ODP17-08763;Fresatura;A30;RIS9;1.25;3
1377;ART0002370;BUDGET;ODP17-08917;Fresatura;A30;RIS9;0.25;1
1378;ART0002148;BUDGET;ODP17-08860;Fresatura;A30;RIS7;2;6
1379;ART0003202;BUDGET;ODP17-08998;Fresatura;A30;RIS9;0.5;5
1380;ART0001164;BUDGET;ODP17-08616;Tornitura;A20;RIS1;1;0
1381;ART0001164;BUDGET;ODP17-08616;Saldatura;A11;RIS1;0.5;3
1382;ART0001427;BUDGET;ODP17-08436;Controllo qualità;CQ;RIS16;0;12
1383;ART0001759;BUDGET;ODP17-08040;Fresatura;A30;RIS7;4.25;16
1384;ART0000851;BUDGET;ODP17-07396;Montaggio;A40;RIS4;2.5;15
1385;ART0000851;BUDGET;ODP17-07396;Controllo qualità;CQ;RIS16;0;15
1386;ART0002608;BUDGET;ODP17-08400;Tornitura;A20;RIS2;3.5;1
1387;ART0001759;BUDGET;ODP17-08040;Controllo qualità;CQ;RIS16;0;16
1388;ART0001866;BUDGET;ODP17-08040;Controllo qualità;CQ;RIS16;0;17
1389;ART0002107;BUDGET;ODP17-08862;Fresatura;A30;RIS7;1;12
1390;ART0002107;BUDGET;ODP17-08862;Tornitura;A20;RIS14;1.25;12
1391;ART0002608;BUDGET;ODP17-08400;Fresatura;A30;RIS7;1.75;1
1392;ART0002918;BUDGET;ODP17-08763;Tornitura;A20;RIS2;2.75;3
1393;ART0002919;BUDGET;ODP17-08763;Tornitura;A20;RIS2;3;3
1394;ART0001788;BUDGET;ODP17-08762;Controllo qualità;CQ;RIS16;0;5
1395;ART0001832;BUDGET;ODP17-07834;Controllo qualità;CQ;RIS16;0;2
1396;ART0002919;BUDGET;ODP17-08763;Fresatura;A30;RIS7;2;3
1397;ART0002918;BUDGET;ODP17-08763;Fresatura;A30;RIS7;1;0
1398;ART0001897;BUDGET;ODP17-08916;Tornitura;A20;RIS1;8;0
1399;ART0002918;BUDGET;ODP17-08763;Fresatura;A30;RIS7;1;3
1400;ART0000812;BUDGET;ODP17-07834;Montaggio;A40;RIS4;0.5;1
1401;ART0000812;BUDGET;ODP17-07834;Controllo qualità;CQ;RIS16;0;1
1402;ART0000795;BUDGET;ODP17-08040;Controllo qualità;CQ;RIS16;0;8
1403;ART0000795;BUDGET;ODP17-09103;Controllo qualità;CQ;RIS16;0;8
1404;ART0002048;BUDGET;ODP17-08125;Controllo qualità;CQ;RIS16;0;5
1405;ART0002444;BUDGET;ODP17-08125;Controllo qualità;CQ;RIS16;0;5
1406;ART0001811;BUDGET;ODP17-08792;Tornitura;A20;RIS14;3;7
1407;ART0001811;BUDGET;ODP17-08792;Tornitura;A20;RIS14;3;0
1408;ART0002739;BUDGET;ODP17-07900;Controllo qualità;CQ;RIS16;0;7
1409;ART0002385;BUDGET;ODP17-07396;Controllo qualità;CQ;RIS16;0;24
1410;ART0002867;BUDGET;ODP17-08125;Montaggio;A40;RIS1;0.75;5
1411;ART0002909;BUDGET;ODP17-08125;Montaggio;A40;RIS1;0.75;5
1412;ART0001252;BUDGET;ODP17-08763;Tornitura;A20;RIS14;4;3
1413;ART0001252;BUDGET;ODP17-08763;Fresatura;A30;RIS7;1;3
1414;ART0002617;BUDGET;ODP17-08998;Tornitura;A20;RIS2;0.25;0
1415;ART0001897;BUDGET;ODP17-08916;Tornitura;A20;RIS1;8;0
1416;ART0001945;BUDGET;ODP17-08042;Controllo qualità;CQ;RIS16;0;1
1417;ART0001873;BUDGET;ODP17-08762;Controllo qualità;CQ;RIS16;0;5
1418;ART0001837;BUDGET;ODP17-08400;Controllo qualità;CQ;RIS16;0;1
1419;ART0001252;BUDGET;ODP17-08763;Fresatura;A30;RIS7;1;0
1420;ART0002249;BUDGET;ODP17-08917;Tornitura;A20;RIS14;0.5;4
1421;ART0002249;BUDGET;ODP17-08917;Tornitura;A20;RIS14;1.5;0
1422;ART0002617;BUDGET;ODP17-08998;Tornitura;A20;RIS2;2;2
1423;ART0002249;BUDGET;ODP17-08917;Fresatura;A30;RIS7;0.75;4
1424;ART0002617;BUDGET;ODP17-08998;Fresatura;A30;RIS7;1;2
1425;ART0005109;BUDGET;ODP17-08620;Controllo qualità;CQ;RIS16;0;4
1426;ART0001895;BUDGET;ODP17-08862;Tornitura;A20;RIS14;3.5;8
1427;ART0002615;BUDGET;ODP17-08986;Tornitura;A20;RIS2;1.25;1
1428;ART0002615;BUDGET;ODP17-08986;Fresatura;A30;RIS7;0.75;1
1429;ART0002148;BUDGET;ODP17-08860;Controllo qualità;CQ;RIS16;0;6
1430;ART0002740;BUDGET;ODP17-07396;Controllo qualità;CQ;RIS16;0;47
1431;ART0001164;BUDGET;ODP17-08616;Controllo qualità;CQ;RIS16;0;3
1432;ART0002867;BUDGET;ODP17-08125;Controllo qualità;CQ;RIS16;0;5
1433;ART0002909;BUDGET;ODP17-08125;Controllo qualità;CQ;RIS16;0;5
1434;ART0002370;BUDGET;ODP17-08917;Controllo qualità;CQ;RIS16;0;1
1435;ART0001895;BUDGET;ODP17-08862;Fresatura;A30;RIS7;2.75;0
1436;ART0000814;BUDGET;ODP17-08042;Montaggio;A40;RIS4;1;1
1437;ART0001897;BUDGET;ODP17-08916;Tornitura;A20;RIS1;5;20
1438;ART0001897;BUDGET;ODP17-08916;Fresatura;A30;RIS1;0.00001;0
1439;ART0000814;BUDGET;ODP17-08042;Controllo qualità;CQ;RIS16;0;1
1440;ART0002107;BUDGET;ODP17-08862;Controllo qualità;CQ;RIS16;0;12
1441;ART0001895;BUDGET;ODP17-08862;Fresatura;A30;RIS7;1;8
1442;ART0000784;BUDGET;ODP17-08762;Montaggio;A40;RIS13;3;5
1443;ART0000784;BUDGET;ODP17-08762;Controllo qualità;CQ;RIS16;0;5
1444;ART0005136;BUDGET;ODP17-09117;Tornitura;A20;RIS14;2;51
1445;ART0003202;BUDGET;ODP17-08998;Controllo qualità;CQ;RIS16;0;5
1446;ART0001837;BUDGET;ODP17-08400;Fresatura;A30;RIS7;4.75;0
1447;ART0001886;BUDGET;ODP17-09161;Tornitura;A20;RIS1;4;0
1448;ART0001837;BUDGET;ODP17-08400;Fresatura;A30;RIS7;1.75;1
1449;ART0005136;BUDGET;ODP17-09117;Controllo qualità;CQ;RIS16;0;50
1450;ART0001886;BUDGET;ODP17-09161;Tornitura;A20;RIS1;7;16
1451;ART0001886;BUDGET;ODP17-09161;Fresatura;A30;RIS1;0.001;16
1452;ART0001653;BUDGET;ODP17-08763;Tornitura;A20;RIS2;1.75;9
1453;ART0002079;BUDGET;ODP17-08862;Tornitura;A20;RIS2;2.25;12
1454;ART0001811;BUDGET;ODP17-08792;Fresatura;A30;RIS7;5.5;6
1455;ART0001653;BUDGET;ODP17-08763;Controllo qualità;CQ;RIS16;0;9
1456;ART0002271;BUDGET;ODP17-08763;Controllo qualità;CQ;RIS16;0;3
1457;ART0002079;BUDGET;ODP17-08862;Tornitura;A20;RIS2;0.75;0
1458;ART0002079;BUDGET;ODP17-08862;Controllo qualità;CQ;RIS16;0;12
1459;ART0000752;BUDGET;ODP17-08792;Montaggio;A40;RIS4;0.25;1
1460;ART0000752;BUDGET;ODP17-08792;Controllo qualità;CQ;RIS16;0;1
1461;ART0003310;BUDGET;ODP17-08763;Tornitura;A20;RIS14;1;20
1462;ART0003310;BUDGET;ODP17-08763;Controllo qualità;CQ;RIS16;0;20
1463;ART0003309;BUDGET;ODP17-08763;Tornitura;A20;RIS14;1;9
1464;ART0003309;BUDGET;ODP17-08763;Controllo qualità;CQ;RIS16;0;9
1465;ART0002829;BUDGET;ODP17-08763;Tornitura;A20;RIS2;1.25;0
1466;ART0002829;BUDGET;ODP17-08763;Tornitura;A20;RIS2;0.75;12
1467;ART0001497;BUDGET;ODP17-08763;Tornitura;A20;RIS2;0.5;3
1468;ART0001534;BUDGET;ODP17-09243;Tornitura;A20;RIS2;1;2
1469;ART0002617;BUDGET;ODP17-08998;Controllo qualità;CQ;RIS16;0;2
1470;ART0001252;BUDGET;ODP17-08763;Controllo qualità;CQ;RIS16;0;3
1471;ART0002249;BUDGET;ODP17-08917;Controllo qualità;CQ;RIS16;0;4
1472;ART0002615;BUDGET;ODP17-08986;Controllo qualità;CQ;RIS16;0;1
1473;ART0002829;BUDGET;ODP17-08763;Controllo qualità;CQ;RIS16;0;9
1474;ART0001497;BUDGET;ODP17-08763;Controllo qualità;CQ;RIS16;0;3
1475;ART0000841;BUDGET;ODP17-08400;Montaggio;A40;RIS13;2;1
1476;ART0001783;BUDGET;ODP17-08862;Tornitura;A20;RIS14;3;9
1477;ART0001783;BUDGET;ODP17-08862;Tornitura;A20;RIS14;2.5;0
1478;ART0001947;BUDGET;ODP17-09331;Tornitura;A20;RIS14;2;3
1479;ART0001947;BUDGET;ODP17-09331;Tornitura;A20;RIS14;1;0
1480;ART0001244;BUDGET;ODP17-08965;Tornitura;A20;RIS2;2.5;1
1481;ART0001244;BUDGET;ODP17-08965;Tornitura;A20;RIS2;1.5;0
1482;ART0001534;BUDGET;ODP17-09243;Controllo qualità;CQ;RIS16;0;2
1483;ART0001244;BUDGET;ODP17-08965;Saldatura;A11;RIS1;0.5;1
1484;ART0001244;BUDGET;ODP17-08965;Tornitura;A20;RIS1;1.5;1
1485;ART0001244;BUDGET;ODP17-08965;Tornitura;A20;RIS2;0.75;0
